"","c(-1, 1),c(0.5, 0.5)","c(-0.5, 0.5),c(0.5, 0.5)","c(-1, 1),c(0.2, 0.8)","c(-0.5, 0.5),c(0.2, 0.8)"
"100,2",2.35,1.35,1.85,1.15
"500,2",4.85,1.3,1.75,3.05
"100,5",4.8,2.7,2.95,3.2
"500,5",4.9,2.35,3.85,4.6
