"","c(-1, 1),c(0.5, 0.5)","c(-0.5, 0.5),c(0.5, 0.5)","c(-1, 1),c(0.2, 0.8)","c(-0.5, 0.5),c(0.2, 0.8)"
"100,2",1.4,1,0.6,1
"500,2",3.2,3,1.6,1.4
"100,5",3,2.6,1.4,1
"500,5",2.2,2.6,2.8,2.4
