"","V1","V2","V3","V4","V5","V6"
"67",0.115,2,500,"-1,0,3","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"68",0,2,500,"-1,0,3","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"69",0,2,500,"-1,0,3","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"70",0.1175,2,500,"-1,0,3","0.25,0.5,0.25","1,1,1"
"71",0,2,500,"-1,0,3","0.25,0.5,0.25","0.6,1.2,0.6"
"72",0,2,500,"-1,0,3","0.25,0.5,0.25","0.6,0.6,1.2"
"73",0,10,500,"-2.5,0,2.5","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"74",0,10,500,"-2.5,0,2.5","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"75",0,10,500,"-2.5,0,2.5","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"76",0,10,500,"-2.5,0,2.5","0.25,0.5,0.25","1,1,1"
"77",0,10,500,"-2.5,0,2.5","0.25,0.5,0.25","0.6,1.2,0.6"
"78",0,10,500,"-2.5,0,2.5","0.25,0.5,0.25","0.6,0.6,1.2"
"79",0,10,500,"-2,0,2","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"80",0,10,500,"-2,0,2","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"81",0,10,500,"-2,0,2","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"82",0,10,500,"-2,0,2","0.25,0.5,0.25","1,1,1"
"83",0,10,500,"-2,0,2","0.25,0.5,0.25","0.6,1.2,0.6"
"84",0,10,500,"-2,0,2","0.25,0.5,0.25","0.6,0.6,1.2"
"85",0,10,500,"-2,0,4","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"86",0,10,500,"-2,0,4","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"87",0,10,500,"-2,0,4","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"88",0,10,500,"-2,0,4","0.25,0.5,0.25","1,1,1"
"89",0,10,500,"-2,0,4","0.25,0.5,0.25","0.6,1.2,0.6"
"90",0,10,500,"-2,0,4","0.25,0.5,0.25","0.6,0.6,1.2"
"91",0,10,500,"-1,0,3","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"92",0,10,500,"-1,0,3","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"93",0,10,500,"-1,0,3","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"94",0,10,500,"-1,0,3","0.25,0.5,0.25","1,1,1"
"95",0,10,500,"-1,0,3","0.25,0.5,0.25","0.6,1.2,0.6"
"96",0,10,500,"-1,0,3","0.25,0.5,0.25","0.6,0.6,1.2"
"97",NA,NA,NA,"-1,0,3","0.25,0.5,0.25","0.6,0.6,1.2"
