"nom.size","an","N","T","omega"
0.082,0.05,100,2,-11.6952610352854
0.066,0.1,100,2,-11.6952610352854
0.056,0.15,100,2,-11.6952610352854
0.056,0.2,100,2,-11.6952610352854
0.054,0.3,100,2,-11.6952610352854
0.052,0.4,100,2,-11.6952610352854
0.088,0.05,100,2,-9.72790735952982
0.07,0.1,100,2,-9.72790735952982
0.062,0.15,100,2,-9.72790735952982
0.06,0.2,100,2,-9.72790735952982
0.056,0.3,100,2,-9.72790735952982
0.054,0.4,100,2,-9.72790735952982
0.07,0.05,100,10,-6.08693848165939
0.064,0.1,100,10,-6.08693848165939
0.064,0.15,100,10,-6.08693848165939
0.064,0.2,100,10,-6.08693848165939
0.064,0.3,100,10,-6.08693848165939
0.062,0.4,100,10,-6.08693848165939
0.066,0.05,100,10,-5.15869636226449
0.062,0.1,100,10,-5.15869636226449
0.058,0.15,100,10,-5.15869636226449
0.058,0.2,100,10,-5.15869636226449
0.056,0.3,100,10,-5.15869636226449
0.054,0.4,100,10,-5.15869636226449
0.06,0.05,100,10,-5.94210804784106
0.058,0.1,100,10,-5.94210804784106
0.054,0.15,100,10,-5.94210804784106
0.054,0.2,100,10,-5.94210804784106
0.054,0.3,100,10,-5.94210804784106
0.054,0.4,100,10,-5.94210804784106
0.058,0.05,100,10,-5.01195030865049
0.056,0.1,100,10,-5.01195030865049
0.054,0.15,100,10,-5.01195030865049
0.054,0.2,100,10,-5.01195030865049
0.054,0.3,100,10,-5.01195030865049
0.052,0.4,100,10,-5.01195030865049
0.07,0.05,100,10,-7.41947324248453
0.064,0.1,100,10,-7.41947324248453
0.064,0.15,100,10,-7.41947324248453
0.064,0.2,100,10,-7.41947324248453
0.064,0.3,100,10,-7.41947324248453
0.062,0.4,100,10,-7.41947324248453
0.066,0.05,100,10,-6.25852880244481
0.062,0.1,100,10,-6.25852880244481
0.058,0.15,100,10,-6.25852880244481
0.058,0.2,100,10,-6.25852880244481
0.056,0.3,100,10,-6.25852880244481
0.054,0.4,100,10,-6.25852880244481
0.06,0.05,100,10,-7.28026091176678
0.058,0.1,100,10,-7.28026091176678
0.054,0.15,100,10,-7.28026091176678
0.054,0.2,100,10,-7.28026091176678
0.054,0.3,100,10,-7.28026091176678
0.054,0.4,100,10,-7.28026091176678
0.058,0.05,100,10,-6.1187484059302
0.056,0.1,100,10,-6.1187484059302
0.054,0.15,100,10,-6.1187484059302
0.054,0.2,100,10,-6.1187484059302
0.054,0.3,100,10,-6.1187484059302
0.052,0.4,100,10,-6.1187484059302
0.07,0.05,100,10,-8.75200800330968
0.064,0.1,100,10,-8.75200800330968
0.064,0.15,100,10,-8.75200800330968
0.064,0.2,100,10,-8.75200800330968
0.064,0.3,100,10,-8.75200800330968
0.062,0.4,100,10,-8.75200800330968
0.066,0.05,100,10,-7.35836124262512
0.062,0.1,100,10,-7.35836124262512
0.058,0.15,100,10,-7.35836124262512
0.058,0.2,100,10,-7.35836124262512
0.056,0.3,100,10,-7.35836124262512
0.054,0.4,100,10,-7.35836124262512
0.06,0.05,100,10,-8.6184137756925
0.058,0.1,100,10,-8.6184137756925
0.054,0.15,100,10,-8.6184137756925
0.054,0.2,100,10,-8.6184137756925
0.054,0.3,100,10,-8.6184137756925
0.054,0.4,100,10,-8.6184137756925
0.058,0.05,100,10,-7.2255465032099
0.056,0.1,100,10,-7.2255465032099
0.054,0.15,100,10,-7.2255465032099
0.054,0.2,100,10,-7.2255465032099
0.054,0.3,100,10,-7.2255465032099
0.052,0.4,100,10,-7.2255465032099
0.07,0.05,100,10,-8.95534483469462
0.064,0.1,100,10,-8.95534483469462
0.064,0.15,100,10,-8.95534483469462
0.064,0.2,100,10,-8.95534483469462
0.064,0.3,100,10,-8.95534483469462
0.062,0.4,100,10,-8.95534483469462
0.066,0.05,100,10,-7.50641500010771
0.062,0.1,100,10,-7.50641500010771
0.058,0.15,100,10,-7.50641500010771
0.058,0.2,100,10,-7.50641500010771
0.056,0.3,100,10,-7.50641500010771
0.054,0.4,100,10,-7.50641500010771
0.06,0.05,100,10,-8.81868454156321
0.058,0.1,100,10,-8.81868454156321
0.054,0.15,100,10,-8.81868454156321
0.054,0.2,100,10,-8.81868454156321
0.054,0.3,100,10,-8.81868454156321
0.054,0.4,100,10,-8.81868454156321
0.058,0.05,100,10,-7.36992883409016
0.056,0.1,100,10,-7.36992883409016
0.054,0.15,100,10,-7.36992883409016
0.052,0.2,100,10,-7.36992883409016
0.052,0.3,100,10,-7.36992883409016
0.05,0.4,100,10,-7.36992883409016
0.07,0.05,100,10,-10.2878795955198
0.064,0.1,100,10,-10.2878795955198
0.064,0.15,100,10,-10.2878795955198
0.064,0.2,100,10,-10.2878795955198
0.064,0.3,100,10,-10.2878795955198
0.062,0.4,100,10,-10.2878795955198
0.066,0.05,100,10,-8.60624744028803
0.062,0.1,100,10,-8.60624744028803
0.058,0.15,100,10,-8.60624744028803
0.058,0.2,100,10,-8.60624744028803
0.056,0.3,100,10,-8.60624744028803
0.054,0.4,100,10,-8.60624744028803
0.06,0.05,100,10,-10.1568374054889
0.058,0.1,100,10,-10.1568374054889
0.054,0.15,100,10,-10.1568374054889
0.054,0.2,100,10,-10.1568374054889
0.054,0.3,100,10,-10.1568374054889
0.054,0.4,100,10,-10.1568374054889
0.058,0.05,100,10,-8.47672693136986
0.056,0.1,100,10,-8.47672693136986
0.054,0.15,100,10,-8.47672693136986
0.052,0.2,100,10,-8.47672693136986
0.052,0.3,100,10,-8.47672693136986
0.05,0.4,100,10,-8.47672693136986
0.07,0.05,100,10,-11.8237511877298
